Designator,Mid X,Mid Y,Rotation,Layer
D1,87.854888,-73.686181,250.0,top
J1,107.21,-77.2,90.0,top
J2,82.952,-75.712,270.0,top
Q1,100.854888,-73.686181,90.0,top
R1,86.040155,-77.89172,270.0,top
R3,107.05,-73.48,0.0,top
R5,105.52,-71.4,315.0,top
R6,103.632,-76.708,180.0,top
R7,103.46,-79.62,0.0,top
R8,103.4,-70.11,270.0,top
U2,103.71,-73.9175,90.0,top
